name,nominal,usl,lsl,measured,precision,check_id,specification_type_id,characteristic_type_id,frequency_type_id,measurement_type_id,gauge_id
DIM 2,8.812,8.817,8.807,2.415,3,11,1,20,0,0,4
DIM 3,1.164,1.169,1.159,7.584476272,3,11,1,7,1,0,6
DIM 4,9.146,9.151,9.141,7.54,3,11,2,14,0,0,3
DIM 1,9.298,9.303,9.293,,3,12,3,7,10,0,1
DIM 2,8.812,8.817,8.807,0.199,3,12,1,20,0,0,4
DIM 3,1.164,1.169,1.159,10.608,3,12,1,7,1,0,6
DIM 4,9.146,9.151,9.141,,3,12,2,14,0,0,3
DIM 1,9.298,9.303,9.293,7.74777015,3,13,3,7,10,0,1
DIM 2,8.812,8.817,8.807,8.894,3,13,1,20,0,0,4
DIM 3,1.164,1.169,1.159,0.204,3,13,1,7,1,0,6
DIM 4,9.146,9.151,9.141,1.399,3,13,2,14,0,0,3
DIM 1,9.298,9.303,9.293,7.857528374,3,14,3,7,10,0,1
DIM 2,8.812,8.817,8.807,7.772713167,3,14,1,20,0,0,4
DIM 3,1.164,1.169,1.159,2.329,3,14,1,7,1,0,6
DIM 4,9.146,9.151,9.141,0.388,3,14,2,14,0,0,3
DIM 1,10.687,10.692,10.682,10.687,3,15,2,13,5,0,3
DIM 2,9.162,9.167,9.157,9.162,3,15,2,5,8,0,6
DIM 3,2.572,2.577,2.567,3.332175106,3,15,3,20,6,0,4
DIM 4,4.684,4.689,4.679,5.085189518,3,15,3,16,7,0,4
DIM 1,10.687,10.692,10.682,7.765,3,16,2,13,5,0,3
DIM 2,9.162,9.167,9.157,1.486440967,3,16,2,5,8,0,6
DIM 3,2.572,2.577,2.567,10.80435005,3,16,3,20,6,0,4
DIM 4,4.684,4.689,4.679,4.973,3,16,3,16,7,0,4
DIM 1,10.687,10.692,10.682,8.506,3,17,2,13,5,0,3
DIM 2,9.162,9.167,9.157,2.560787018,3,17,2,5,8,0,6
DIM 3,2.572,2.577,2.567,8.771,3,17,3,20,6,0,4
DIM 4,4.684,4.689,4.679,10.32177937,3,17,3,16,7,0,4
DIM 1,10.687,10.692,10.682,,3,18,2,13,5,0,3
DIM 2,9.162,9.167,9.157,0.048,3,18,2,5,8,0,6
DIM 3,2.572,2.577,2.567,3.366,3,18,3,20,6,0,4
DIM 4,4.684,4.689,4.679,9.323254362,3,18,3,16,7,0,4
DIM 1,10.687,10.692,10.682,4.214204724,3,19,2,13,5,0,3
DIM 2,9.162,9.167,9.157,,3,19,2,5,8,0,6
DIM 3,2.572,2.577,2.567,,3,19,3,20,6,0,4
DIM 4,4.684,4.689,4.679,7.59322378,3,19,3,16,7,0,4
DIM 1,7.582,7.587,7.577,7.647083639,3,20,3,17,0,0,5
DIM 2,2.38,2.385,2.375,2.38,3,20,2,0,9,0,5
DIM 3,10.74,10.745,10.735,11.00677556,3,20,2,6,9,0,4
DIM 4,6.303,6.308,6.298,6.303,3,20,3,12,0,0,1
DIM 1,7.582,7.587,7.577,1.429050745,3,21,3,17,0,0,5
DIM 2,2.38,2.385,2.375,1.812,3,21,2,0,9,0,5
DIM 3,10.74,10.745,10.735,10.79278474,3,21,2,6,9,0,4
DIM 4,6.303,6.308,6.298,2.285643977,3,21,3,12,0,0,1
DIM 1,7.582,7.587,7.577,10.73901675,3,22,3,17,0,0,5
DIM 2,2.38,2.385,2.375,0.947,3,22,2,0,9,0,5
DIM 3,10.74,10.745,10.735,,3,22,2,6,9,0,4
DIM 4,6.303,6.308,6.298,7.44,3,22,3,12,0,0,1
